Experiment Accession	Peak Accession	Biosample	Target	Lab	RFA
ENCSR928BPP	ENCFF671PCI	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ATF2	ATF2	"Richard Myers, HAIB"	ENCODE4
ENCSR163PYB	ENCFF445CZX	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens CHCHD3	CHCHD3	"Richard Myers, HAIB"	ENCODE4
ENCSR715EIP	ENCFF647CDO	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens BRF2	BRF2	"Richard Myers, HAIB"	ENCODE4
ENCSR323ZAP	ENCFF564KJT	Homo sapiens heart right ventricle tissue female adult (56 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR681KXT	ENCFF731RBX	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF329	ZNF329	"Richard Myers, HAIB"	ENCODE4
ENCSR963EQY	ENCFF434STO	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens NR1H2	NR1H2	"Richard Myers, HAIB"	ENCODE4
ENCSR598NQU	ENCFF287TUA	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens NAIF1	NAIF1	"Richard Myers, HAIB"	ENCODE4
ENCSR576AMK	ENCFF893YKY	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens PPARD	PPARD	"Michael Snyder, Stanford"	ENCODE4
ENCSR594HXD	ENCFF695PDY	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ELF2	ELF2	"Michael Snyder, Stanford"	ENCODE4
ENCSR579XWM	ENCFF023JGT	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens HSF4	HSF4	"Michael Snyder, Stanford"	ENCODE4
ENCSR661IKO	ENCFF503IOR	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TRAFD1	TRAFD1	"Richard Myers, HAIB"	ENCODE4
ENCSR581KCO	ENCFF904DOZ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MYBL2	MYBL2	"Richard Myers, HAIB"	ENCODE4
ENCSR555DCD	ENCFF702SXD	Homo sapiens ascending aorta tissue female adult (53 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR929IMB	ENCFF411GOS	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens AKNA	AKNA	"Richard Myers, HAIB"	ENCODE4
ENCSR604VAE	ENCFF558WZE	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens PHF8	PHF8	"Richard Myers, HAIB"	ENCODE4
ENCSR547WSB	ENCFF752MWG	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens TRERF1	TRERF1	"Michael Snyder, Stanford"	ENCODE4
ENCSR248QBT	ENCFF254GEZ	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens USF1	USF1	"Richard Myers, HAIB"	ENCODE4
ENCSR296JFK	ENCFF904UWV	Homo sapiens heart left ventricle tissue male adult (43 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR912NEF	ENCFF774KWE	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MGA	MGA	"Richard Myers, HAIB"	ENCODE4
ENCSR124XCX	ENCFF227RXB	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TRIM24	TRIM24	"Richard Myers, HAIB"	ENCODE4
ENCSR865HXK	ENCFF851ZEB	Homo sapiens HEK293 genetically modified (insertion) using CRISPR targeting H. sapiens PBX3	PBX3	"Richard Myers, HAIB"	ENCODE4
ENCSR349FYX	ENCFF760NBK	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens MAX	MAX	"Richard Myers, HAIB"	ENCODE4
ENCSR587KPW	ENCFF176AOA	Homo sapiens heart right ventricle tissue male adult (61 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR906CWK	ENCFF549NPY	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZFPM2	ZFPM2	"Michael Snyder, Stanford"	ENCODE4
ENCSR769FXE	ENCFF011GNA	Homo sapiens A549 genetically modified (insertion) using CRISPR targeting H. sapiens NPAS2	NPAS2	"Michael Snyder, Stanford"	ENCODE4
ENCSR923MOO	ENCFF407WPM	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MEF2D	MEF2D	"Richard Myers, HAIB"	ENCODE4
ENCSR150LGS	ENCFF746QNQ	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens E2F5	E2F5	"Richard Myers, HAIB"	ENCODE4
ENCSR667WDR	ENCFF737BYI	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens FOXJ3	FOXJ3	"Richard Myers, HAIB"	ENCODE4
ENCSR754KCC	ENCFF902PJA	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens KDM2A	KDM2A	"Richard Myers, HAIB"	ENCODE4
ENCSR076KLJ	ENCFF451VTH	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF276	ZNF276	"Richard Myers, HAIB"	ENCODE4
ENCSR543BNN	ENCFF872DSQ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ISX	ISX	"Richard Myers, HAIB"	ENCODE4
ENCSR127IHN	ENCFF024LQZ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF737	ZNF737	"Richard Myers, HAIB"	ENCODE4
ENCSR044UJJ	ENCFF250MUC	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ATF4	ATF4	"Michael Snyder, Stanford"	ENCODE4
ENCSR140GLO	ENCFF335ZTU	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens SMAD3	SMAD3	"Richard Myers, HAIB"	ENCODE4
ENCSR551QJT	ENCFF737MXG	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens THRA	THRA	"Richard Myers, HAIB"	ENCODE4
ENCSR799DUB	ENCFF948XVV	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens IKZF4	IKZF4	"Richard Myers, HAIB"	ENCODE4
ENCSR376RCX	ENCFF863WFD	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens GMEB1	GMEB1	"Michael Snyder, Stanford"	ENCODE4
ENCSR291MJH	ENCFF938PFW	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MEF2A	MEF2A	"Richard Myers, HAIB"	ENCODE4
ENCSR987KYK	ENCFF159END	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF717	ZNF717	"Michael Snyder, Stanford"	ENCODE4
ENCSR387BVC	ENCFF869RFC	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens DDIT3	DDIT3	"Michael Snyder, Stanford"	ENCODE4
ENCSR285HHZ	ENCFF602FXL	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens TEAD4	TEAD4	"Richard Myers, HAIB"	ENCODE4
ENCSR847PFO	ENCFF610SSK	Homo sapiens HEK293 genetically modified (insertion) using CRISPR targeting H. sapiens HOXB7	HOXB7	"Richard Myers, HAIB"	ENCODE4
ENCSR158BGH	ENCFF313VEF	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens MBD1	MBD1	"Michael Snyder, Stanford"	ENCODE4
ENCSR077TKJ	ENCFF959ZKZ	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF707	ZNF707	"Michael Snyder, Stanford"	ENCODE4
ENCSR600SCF	ENCFF782EKY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens SCMH1	SCMH1	"Richard Myers, HAIB"	ENCODE4
ENCSR282NLQ	ENCFF442RJO	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens TSHZ2 treated with 6 ?M all-trans-retinoic acid for 48 hours	TSHZ2	"Michael Snyder, Stanford"	ENCODE4
ENCSR621PAN	ENCFF445FCL	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HINFP	HINFP	"Richard Myers, HAIB"	ENCODE4
ENCSR365YCX	ENCFF926UHP	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens RNF219	RNF219	"Richard Myers, HAIB"	ENCODE4
ENCSR949COJ	ENCFF171XML	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens ARNTL treated with 6 ?M all-trans-retinoic acid for 48 hours	ARNTL	"Michael Snyder, Stanford"	ENCODE4
ENCSR908HWZ	ENCFF522LHU	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ATF2	ATF2	"Richard Myers, HAIB"	ENCODE4
ENCSR764ZBK	ENCFF062UNZ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HSF2	HSF2	"Richard Myers, HAIB"	ENCODE4
ENCSR269MEF	ENCFF458IBK	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB44	ZBTB44	"Richard Myers, HAIB"	ENCODE4
ENCSR284SMX	ENCFF365TGJ	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens PREB	PREB	"Richard Myers, HAIB"	ENCODE4
ENCSR795CKZ	ENCFF560NWT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZSCAN30	ZSCAN30	"Richard Myers, HAIB"	ENCODE4
ENCSR656RTA	ENCFF442AHG	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF527	ZNF527	"Richard Myers, HAIB"	ENCODE4
ENCSR555KFE	ENCFF368TYC	Homo sapiens GM23338 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF114	ZNF114	"Michael Snyder, Stanford"	ENCODE4
ENCSR409PXW	ENCFF905RSN	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF224	ZNF224	"Richard Myers, HAIB"	ENCODE4
ENCSR331HWO	ENCFF643FQU	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB1	ZBTB1	"Richard Myers, HAIB"	ENCODE4
ENCSR682AAS	ENCFF885HJI	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF668	ZNF668	"Michael Snyder, Stanford"	ENCODE4
ENCSR249VFB	ENCFF308VAI	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB49	ZBTB49	"Richard Myers, HAIB"	ENCODE4
ENCSR883UGG	ENCFF416TFM	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF445	ZNF445	"Michael Snyder, Stanford"	ENCODE4
ENCSR039IQA	ENCFF455PZT	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens BAZ2A	BAZ2A	"Richard Myers, HAIB"	ENCODE4
ENCSR308LFD	ENCFF862WTX	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens SRY	SRY	"Richard Myers, HAIB"	ENCODE4
ENCSR524RLU	ENCFF322CXC	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens RFXAP	RFXAP	"Richard Myers, HAIB"	ENCODE4
ENCSR403MJY	ENCFF964FPZ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF281	ZNF281	"Richard Myers, HAIB"	ENCODE4
ENCSR015LYB	ENCFF642BLI	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HIC2	HIC2	"Richard Myers, HAIB"	ENCODE4
ENCSR127NBZ	ENCFF910CYH	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ERG	ERG	"Michael Snyder, Stanford"	ENCODE4
ENCSR263YXJ	ENCFF975YZR	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF672	ZNF672	"Richard Myers, HAIB"	ENCODE4
ENCSR024ZIS	ENCFF612MQA	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF260	ZNF260	"Richard Myers, HAIB"	ENCODE4
ENCSR830FJY	ENCFF338YFQ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens SOX18	SOX18	"Richard Myers, HAIB"	ENCODE4
ENCSR081VFY	ENCFF799VRS	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZFP36L1	ZFP36L1	"Richard Myers, HAIB"	ENCODE4
ENCSR026KKZ	ENCFF292HSS	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB17	ZBTB17	"Michael Snyder, Stanford"	ENCODE4
ENCSR413CVQ	ENCFF717YTN	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF423	ZNF423	"Michael Snyder, Stanford"	ENCODE4
ENCSR325VYA	ENCFF130ZHU	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF557	ZNF557	"Richard Myers, HAIB"	ENCODE4
ENCSR066EWR	ENCFF743CDY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZMYM2	ZMYM2	"Richard Myers, HAIB"	ENCODE4
ENCSR385IUC	ENCFF405EGZ	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens TBX18	TBX18	"Michael Snyder, Stanford"	ENCODE4
ENCSR257RKC	ENCFF772OKO	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens GATA2	GATA2	"Richard Myers, HAIB"	ENCODE4
ENCSR849FVL	ENCFF999HNJ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens GFI1	GFI1	"Richard Myers, HAIB"	ENCODE4
ENCSR490AMH	ENCFF656PGC	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens FOXA2	FOXA2	"Richard Myers, HAIB"	ENCODE4
ENCSR552YWL	ENCFF124UUN	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens KLF12	KLF12	"Richard Myers, HAIB"	ENCODE4
ENCSR068QXO	ENCFF934NEX	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens SMAD4	SMAD4	"Richard Myers, HAIB"	ENCODE4
ENCSR717ZZW	ENCFF049BWK	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens E2F1	E2F1	"Richard Myers, HAIB"	ENCODE4
ENCSR953KEY	ENCFF592NJN	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens TFE3	TFE3	"Michael Snyder, Stanford"	ENCODE4
ENCSR321OAA	ENCFF331BSI	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens FOXO1	FOXO1	"Richard Myers, HAIB"	ENCODE4
ENCSR839AJZ	ENCFF645VCZ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF446	ZNF446	"Richard Myers, HAIB"	ENCODE4
ENCSR866VOW	ENCFF341OPF	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens CBFB	CBFB	"Richard Myers, HAIB"	ENCODE4
ENCSR756CJS	ENCFF331QMY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF850	ZNF850	"Richard Myers, HAIB"	ENCODE4
ENCSR725QZQ	ENCFF003AMQ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TIGD3	TIGD3	"Richard Myers, HAIB"	ENCODE4
ENCSR697CNF	ENCFF249WHV	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF571	ZNF571	"Richard Myers, HAIB"	ENCODE4
ENCSR943MQH	ENCFF231XIJ	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB33	ZBTB33	"Richard Myers, HAIB"	ENCODE4
ENCSR546PDE	ENCFF023NWB	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens FOXP1	FOXP1	"Richard Myers, HAIB"	ENCODE4
ENCSR935PEA	ENCFF875JMR	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens CREB5	CREB5	"Michael Snyder, Stanford"	ENCODE4
ENCSR869JZW	ENCFF385DPO	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HOXA5	HOXA5	"Richard Myers, HAIB"	ENCODE4
ENCSR099MNR	ENCFF307UZC	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF75A	ZNF75A	"Michael Snyder, Stanford"	ENCODE4
ENCSR842SRB	ENCFF518ZKO	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF350	ZNF350	"Richard Myers, HAIB"	ENCODE4
ENCSR924LSO	ENCFF245XOL	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens E2F4	E2F4	"Richard Myers, HAIB"	ENCODE4
ENCSR959XNY	ENCFF493UFO	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MED1	MED1	"Richard Myers, HAIB"	ENCODE4
ENCSR542PZA	ENCFF703APN	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF490	ZNF490	"Richard Myers, HAIB"	ENCODE4
ENCSR699RWG	ENCFF922RHM	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF215	ZNF215	"Michael Snyder, Stanford"	ENCODE4
ENCSR551KXD	ENCFF727JXN	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens RHOXF2B	RHOXF2B	"Michael Snyder, Stanford"	ENCODE4
ENCSR969AIM	ENCFF963VBZ	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens PATZ1 treated with 6 ?M all-trans-retinoic acid for 48 hours	PATZ1	"Michael Snyder, Stanford"	ENCODE4
ENCSR834XPX	ENCFF768SKG	Homo sapiens heart left ventricle tissue male adult (55 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR758PLU	ENCFF207MLR	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF408	ZNF408	"Michael Snyder, Stanford"	ENCODE4
ENCSR775FSH	ENCFF253UAF	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF280B	ZNF280B	"Michael Snyder, Stanford"	ENCODE4
ENCSR988EVQ	ENCFF472DLA	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens XBP1	XBP1	"Richard Myers, HAIB"	ENCODE4
ENCSR942XQI	ENCFF330SHG	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens RAD21	RAD21	"Michael Snyder, Stanford"	ENCODE4
ENCSR196FSX	ENCFF408CTC	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZFP82	ZFP82	"Richard Myers, HAIB"	ENCODE4
ENCSR898XQZ	ENCFF745YRF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens NONO	NONO	"Richard Myers, HAIB"	ENCODE4
ENCSR650AWW	ENCFF424OWM	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens PHB	PHB	"Michael Snyder, Stanford"	ENCODE4
ENCSR036THH	ENCFF947VJI	Homo sapiens SK-N-SH genetically modified (insertion) using CRISPR targeting H. sapiens BACH2 treated with 6 ?M all-trans-retinoic acid for 48 hours	BACH2	"Michael Snyder, Stanford"	ENCODE4
ENCSR727IJD	ENCFF391XMO	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF562	ZNF562	"Richard Myers, HAIB"	ENCODE4
ENCSR871VNN	ENCFF823WVL	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF274	ZNF274	"Richard Myers, HAIB"	ENCODE4
ENCSR992KLV	ENCFF749GMT	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens MYNN	MYNN	"Richard Myers, HAIB"	ENCODE4
ENCSR015KAM	ENCFF505INE	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens DMTF1	DMTF1	"Richard Myers, HAIB"	ENCODE4
ENCSR825NXC	ENCFF231KCT	Homo sapiens heart left ventricle tissue female adult (56 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR492IHH	ENCFF308RXD	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ISL2	ISL2	"Richard Myers, HAIB"	ENCODE4
ENCSR400JHG	ENCFF898LPA	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF703	ZNF703	"Richard Myers, HAIB"	ENCODE4
ENCSR830LDY	ENCFF647OBG	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MEIS2	MEIS2	"Richard Myers, HAIB"	ENCODE4
ENCSR165YVX	ENCFF835WKW	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MXD1	MXD1	"Richard Myers, HAIB"	ENCODE4
ENCSR892RCP	ENCFF486LNN	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens CBX5	CBX5	"Richard Myers, HAIB"	ENCODE4
ENCSR507RVF	ENCFF172KCZ	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens FOXP4	FOXP4	"Richard Myers, HAIB"	ENCODE4
ENCSR697WMX	ENCFF076ESL	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HIVEP1	HIVEP1	"Richard Myers, HAIB"	ENCODE4
ENCSR699ZES	ENCFF265QIF	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF670	ZNF670	"Richard Myers, HAIB"	ENCODE4
ENCSR976KGR	ENCFF615SJG	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens CCDC6	CCDC6	"Richard Myers, HAIB"	ENCODE4
ENCSR088LFR	ENCFF359DKY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens GRHL1	GRHL1	"Richard Myers, HAIB"	ENCODE4
ENCSR585JVS	ENCFF228QYX	Homo sapiens heart right ventricle tissue male adult (69 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR559ZKI	ENCFF042QSE	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens NR2C2	NR2C2	"Richard Myers, HAIB"	ENCODE4
ENCSR578AKX	ENCFF182MYP	Homo sapiens heart left ventricle tissue male adult (73 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR837GLU	ENCFF119UOZ	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF232	ZNF232	"Richard Myers, HAIB"	ENCODE4
ENCSR380WJL	ENCFF663OEV	Homo sapiens colonic mucosa tissue female adult (41 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR673GDQ	ENCFF924VAH	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF441	ZNF441	"Richard Myers, HAIB"	ENCODE4
ENCSR266ZUX	ENCFF688QHF	"Homo sapiens nephron organoid female embryo (5 days), 35 days post differentiation"	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR623TZE	ENCFF126SGU	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens SMAD4	SMAD4	"Richard Myers, HAIB"	ENCODE4
ENCSR879RGN	ENCFF139FEW	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZFHX3	ZFHX3	"Richard Myers, HAIB"	ENCODE4
ENCSR592ZQB	ENCFF168YVH	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens IRF2	IRF2	"Richard Myers, HAIB"	ENCODE4
ENCSR898IDK	ENCFF063VRD	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF23	ZNF23	"Michael Snyder, Stanford"	ENCODE4
