# STARR silencer cCREs							
Chr	Start	End	cCRE accession	cCRE class	CAPRA quantification	P-value	Threshold
chr7	116570346	116570544	EH38E3795420	dELS	-1.1081	6.09E-03	Stringent
chr2	168150543	168150889	EH38E4237978	CA	-1.3468	6.11E-03	Stringent
chr6	88538176	88538387	EH38E2484376	dELS	-1.2473	6.11E-03	Stringent
chr5	9332175	9332376	EH38E3625501	dELS	-1.2034	6.14E-03	Stringent
chr22	50514210	50514413	EH38E3491384	dELS	-1.3934	6.19E-03	Stringent
chr4	126834976	126835126	EH38E4346797	TF	-1.3934	6.19E-03	Stringent
chr18	3748970	3749146	EH38E3254372	dELS	-1.3283	6.23E-03	Stringent
chr6	40509872	40510217	EH38E3707054	dELS	-1.2672	6.28E-03	Stringent
chr16	14331023	14331317	EH38E3169911	CA-CTCF	-1.2741	6.31E-03	Stringent
chr1	31774661	31774838	EH38E3960441	dELS	-1.0172	6.34E-03	Stringent
chr6	104721494	104721695	EH38E2489557	dELS	-1.0839	6.39E-03	Stringent
chr8	134332671	134332848	EH38E3862685	dELS	-1.3827	6.40E-03	Stringent
chr8	36966273	36966450	EH38E4465784	CA	-1.3161	6.41E-03	Stringent
chr3	139970625	139970883	EH38E4312810	CA-TF	-1.3103	6.43E-03	Stringent
chr1	212551975	212552285	EH38E3991471	TF	-1.3015	6.43E-03	Stringent
chr14	42307560	42307725	EH38E1710786	CA-H3K4me3	-1.2779	6.43E-03	Stringent
chr9	108047905	108048079	EH38E4503933	TF	-1.2905	6.44E-03	Stringent
chrX	106957970	106958147	EH38E2763086	CA-CTCF	-1.0266	6.44E-03	Stringent
chr4	55336197	55336543	EH38E3585231	dELS	-1.3787	6.46E-03	Stringent
chr17	7597589	7597774	EH38E3207215	dELS	-1.2682	6.46E-03	Stringent
chr22	29662713	29662901	EH38E3474988	dELS	-1.1354	6.58E-03	Stringent
chr19	18295322	18295493	EH38E3295936	dELS	-1.3628	6.62E-03	Stringent
chr18	50610376	50610681	EH38E3268877	dELS	-1.3159	6.64E-03	Stringent
chr2	126703702	126703918	EH38E3369880	pELS	-1.1647	6.68E-03	Stringent
chr11	80442476	80442769	EH38E2975598	dELS	-1.3440	6.69E-03	Stringent
chr13	98362881	98363082	EH38E3076680	dELS	-1.1454	6.70E-03	Stringent
chr17	31548417	31548635	EH38E4159302	dELS	-1.3637	6.76E-03	Stringent
chr1	38267818	38268095	EH38E3962139	CA-CTCF	-1.3636	6.77E-03	Stringent
chr10	27158522	27158699	EH38E2892308	dELS	-1.3636	6.77E-03	Stringent
chr13	22641676	22641969	EH38E4082519	CA	-1.3636	6.77E-03	Stringent
chrX	115692496	115692697	EH38E2765380	dELS	-1.3636	6.77E-03	Stringent
chr12	69061299	69061554	EH38E3026213	dELS	-1.3661	6.79E-03	Stringent
chr2	206502849	206503042	EH38E3396156	CA-CTCF	-1.3433	6.80E-03	Stringent
chr11	72501018	72501215	EH38E4041537	TF	-1.3375	6.82E-03	Stringent
chr12	105709211	105709545	EH38E1640470	dELS	-1.3646	6.83E-03	Stringent
chr7	51661393	51661653	EH38E3774770	CA-CTCF	-1.2392	6.84E-03	Stringent
chr5	44983060	44983339	EH38E3635289	CA-H3K4me3	-1.3101	6.84E-03	Stringent
chr11	81177557	81177729	EH38E4043590	CA	-1.3747	6.89E-03	Stringent
chr5	517714	518064	EH38E4358105	TF	-1.3679	6.91E-03	Stringent
chr2	205458037	205458215	EH38E4245017	CA	-1.3741	6.92E-03	Stringent
chr5	139252644	139252857	EH38E4382899	CA	-1.3504	6.92E-03	Stringent
chr1	183959779	183959955	EH38E1404388	dELS	-1.0280	6.94E-03	Stringent
chr19	12815194	12815446	EH38E3291283	CA-CTCF	-1.3591	6.99E-03	Stringent
chr4	105042519	105042713	EH38E3598225	CA-H3K4me3	-1.2325	7.05E-03	Stringent
chr8	38827767	38828007	EH38E3829553	dELS	-1.1061	7.07E-03	Stringent
chr1	196660395	196660596	EH38E2855795	pELS	-1.2815	7.09E-03	Stringent
chr9	124053621	124053820	EH38E4507106	CA-CTCF	-1.1485	7.11E-03	Stringent
chr15	89305076	89305252	EH38E4130282	CA	-1.1024	7.13E-03	Stringent
chr1	151733999	151734346	EH38E3979545	TF	-1.1759	7.14E-03	Stringent
chr2	68696002	68696345	EH38E3349829	dELS	-1.1759	7.14E-03	Stringent
chr4	155848836	155849115	EH38E4351741	TF	-1.1759	7.14E-03	Stringent
chr3	149844876	149845064	EH38E4314683	dELS	-1.1270	7.16E-03	Stringent
chr14	100762997	100763178	EH38E3116841	dELS	-1.2236	7.16E-03	Stringent
chr1	210855497	210855815	EH38E3991100	dELS	-1.3662	7.16E-03	Stringent
chr11	100689824	100690040	EH38E2980796	pELS	-1.3493	7.17E-03	Stringent
chr19	21519559	21519769	EH38E1946058	CA-H3K4me3	-1.2502	7.17E-03	Stringent
chr2	37421768	37421924	EH38E1988236	dELS	-1.3288	7.19E-03	Stringent
chr2	19288832	19289171	EH38E3328708	dELS	-1.2943	7.21E-03	Stringent
chr11	113885376	113885601	EH38E2985257	dELS	-1.2942	7.22E-03	Stringent
chr3	152357628	152357935	EH38E2249343	dELS	-1.2942	7.22E-03	Stringent
chr4	97097065	97097401	EH38E3596135	dELS	-1.3514	7.24E-03	Stringent
chr2	219830398	219830746	EH38E3401805	dELS	-1.2633	7.24E-03	Stringent
chr2	109499613	109499942	EH38E3364250	dELS	-1.3546	7.26E-03	Stringent
chr16	47229257	47229599	EH38E1813060	dELS	-1.3663	7.30E-03	Stringent
chr4	165055630	165055974	EH38E4353337	CA	-1.3663	7.30E-03	Stringent
chr18	44246112	44246268	EH38E1912470	CA-CTCF	-1.1333	7.30E-03	Stringent
chr13	23533556	23533748	EH38E4082706	CA	-1.1950	7.30E-03	Stringent
chr17	49959710	49959941	EH38E3229546	dELS	-1.3189	7.32E-03	Stringent
chr14	96135877	96136192	EH38E1739606	dELS	-1.2088	7.32E-03	Stringent
chr20	59633400	59633622	EH38E3445295	dELS	-1.3384	7.35E-03	Stringent
chr2	186501922	186502096	EH38E2058666	dELS	-1.3648	7.36E-03	Stringent
chr14	78081363	78081555	EH38E4110719	CA-CTCF	-1.0710	7.38E-03	Stringent
chr3	175042797	175042968	EH38E4319370	CA	-1.2285	7.39E-03	Stringent
chr10	26367858	26368159	EH38E4004682	dELS	-1.2222	7.39E-03	Stringent
chr16	20326334	20326684	EH38E3172106	pELS	-1.2222	7.39E-03	Stringent
chr17	6526437	6526678	EH38E4154591	dELS	-1.3599	7.42E-03	Stringent
chr12	96096047	96096390	EH38E3034491	dELS	-1.3475	7.43E-03	Stringent
chr3	38618415	38618665	EH38E3506671	dELS	-1.1761	7.43E-03	Stringent
chr1	154104424	154104773	EH38E1385910	CA-CTCF	-1.3476	7.47E-03	Stringent
chr2	191012422	191012682	EH38E3390903	pELS	-1.3451	7.47E-03	Stringent
chr5	160375214	160375529	EH38E2426695	dELS	-1.3413	7.54E-03	Stringent
chr16	78737744	78737902	EH38E3192326	dELS	-1.2449	7.55E-03	Stringent
chr9	128178823	128179127	EH38E3910825	dELS	-1.1033	7.57E-03	Stringent
chr2	224271700	224271941	EH38E2078946	dELS	-1.1664	7.58E-03	Stringent
chr3	133300184	133300422	EH38E3540606	dELS	-0.9278	7.59E-03	Stringent
chr11	73962164	73962404	EH38E4041865	dELS	-1.2204	7.61E-03	Stringent
chr2	209277551	209277721	EH38E3397182	CA-CTCF	-1.1803	7.75E-03	Stringent
chr11	74248560	74248722	EH38E2972265	CA-CTCF	-1.2822	7.75E-03	Stringent
chr1	183203670	183203960	EH38E1403712	dELS	-1.3006	7.78E-03	Stringent
chrX	71163048	71163330	EH38E4522247	dELS	-1.3190	7.79E-03	Stringent
chr11	121999774	121999973	EH38E1576942	dELS	-1.2546	7.80E-03	Stringent
chr11	127863323	127863485	EH38E1580576	dELS	-1.2440	7.81E-03	Stringent
chr6	45477825	45478082	EH38E3710500	dELS	-1.2706	7.81E-03	Stringent
chr1	183864646	183864961	EH38E1404283	dELS	-1.3163	7.84E-03	Stringent
chr13	91350966	91351244	EH38E3074591	PLS	-1.3155	7.85E-03	Stringent
chr5	111677988	111678226	EH38E3653873	dELS	-1.2121	7.87E-03	Stringent
chr3	148939771	148939958	EH38E3546128	dELS	-1.0301	7.87E-03	Stringent
chr6	37156429	37156643	EH38E3705316	dELS	-1.0934	7.88E-03	Stringent
chr10	90801673	90801918	EH38E4016980	TF	-1.3341	7.89E-03	Stringent
chr12	129049980	129050250	EH38E4080344	CA-TF	-1.2982	7.91E-03	Stringent
chr3	197388017	197388218	EH38E4323686	CA	-1.1616	7.92E-03	Stringent
chr8	48888113	48888401	EH38E2629827	dELS	-1.2842	7.93E-03	Stringent
chr2	44752413	44752591	EH38E3340724	dELS	-1.2198	7.94E-03	Stringent
chr7	65404128	65404340	EH38E2559607	CA-H3K4me3	-1.1438	7.94E-03	Stringent
chr5	33523228	33523573	EH38E3631327	CA-CTCF	-1.3514	7.95E-03	Stringent
chr8	117863567	117863906	EH38E3853310	dELS	-1.3514	7.95E-03	Stringent
chr2	20022706	20022916	EH38E1978116	CA	-1.0218	7.98E-03	Stringent
chr12	67391141	67391292	EH38E1621490	dELS	-1.2087	8.00E-03	Stringent
chr11	76713611	76713845	EH38E2973926	dELS	-1.2421	8.01E-03	Stringent
chr16	20102550	20102900	EH38E4138579	TF	-1.2421	8.01E-03	Stringent
chr3	121896834	121897168	EH38E2231842	dELS	-1.2421	8.01E-03	Stringent
chr3	155793387	155793574	EH38E4315758	CA	-1.2428	8.01E-03	Stringent
chr15	64599254	64599598	EH38E1770039	dELS	-1.2420	8.01E-03	Stringent
chr17	18139527	18139772	EH38E3212580	dELS	-1.2420	8.01E-03	Stringent
chr3	116124181	116124451	EH38E4308143	CA	-1.2420	8.01E-03	Stringent
chr8	109301854	109302046	EH38E4479014	CA	-1.1678	8.01E-03	Stringent
chr17	4994244	4994433	EH38E3205564	CA-CTCF	-1.1536	8.03E-03	Stringent
chr12	117508484	117508834	EH38E4077486	TF	-1.0615	8.06E-03	Stringent
chr19	48758697	48758902	EH38E3312626	CA-H3K4me3	-1.0615	8.06E-03	Stringent
chr2	179020197	179020512	EH38E3387558	dELS	-1.0615	8.06E-03	Stringent
chr20	61633051	61633401	EH38E4268300	TF	-1.0615	8.06E-03	Stringent
chr7	128226457	128226807	EH38E4450624	TF	-1.0615	8.06E-03	Stringent
chr9	133870970	133871320	EH38E4509804	TF	-1.0615	8.06E-03	Stringent
chrX	44996239	44996587	EH38E3932607	dELS	-1.0615	8.06E-03	Stringent
chr16	7031186	7031355	EH38E4135168	CA	-1.1021	8.08E-03	Stringent
chr19	43380088	43380388	EH38E4199781	pELS	-1.2682	8.08E-03	Stringent
chr19	42054236	42054557	EH38E4199470	dELS	-1.2283	8.08E-03	Stringent
chr6	106766318	106766496	EH38E3724555	dELS	-1.0197	8.09E-03	Stringent
chr12	53823213	53823403	EH38E1613897	dELS	-1.0521	8.09E-03	Stringent
chr16	19721439	19721645	EH38E3171876	dELS	-1.3481	8.10E-03	Stringent
chr18	58104196	58104451	EH38E1919910	dELS	-1.2936	8.11E-03	Stringent
chr3	171779823	171780173	EH38E4318698	dELS	-1.3410	8.13E-03	Stringent
chr9	90343322	90343672	EH38E2706149	dELS	-1.3411	8.17E-03	Stringent
chr14	64913481	64913791	EH38E4108106	TF	-1.2430	8.17E-03	Stringent
chr1	206628604	206628820	EH38E3990137	TF	-1.3315	8.21E-03	Stringent
chr12	89804985	89805223	EH38E1631151	CA-CTCF	-1.3403	8.25E-03	Stringent
chr19	5760456	5760662	EH38E4191381	CA	-1.1807	8.25E-03	Stringent
chr3	8428524	8428784	EH38E2176366	dELS	-1.1599	8.29E-03	Stringent
chr18	31978717	31978888	EH38E4179424	CA-TF	-1.2186	8.30E-03	Stringent
chr3	53291499	53291700	EH38E3515499	CA-CTCF	-1.2974	8.30E-03	Stringent
chr17	58619460	58619655	EH38E3233638	dELS	-1.3174	8.33E-03	Stringent
chr2	14285922	14286140	EH38E1974948	dELS	-1.2516	8.35E-03	Stringent
chr20	23800687	23800887	EH38E4258285	TF	-1.3418	8.41E-03	Stringent
chr1	236079946	236080171	EH38E2875827	dELS	-1.2524	8.42E-03	Stringent
chr8	118339512	118339772	EH38E2659880	dELS	-1.2802	8.44E-03	Stringent
chr14	103665267	103665582	EH38E3119267	dELS	-1.3391	8.49E-03	Stringent
chr20	17787827	17788120	EH38E4257022	CA	-1.2881	8.49E-03	Stringent
chr8	38018405	38018662	EH38E3828970	dELS	-1.3396	8.50E-03	Stringent
chr15	93607316	93607565	EH38E4131197	CA	-1.1277	8.53E-03	Stringent
chrX	142057864	142058067	EH38E3947056	CA-H3K4me3	-1.1751	8.55E-03	Stringent
chr7	78192630	78192927	EH38E2565693	dELS	-1.3236	8.58E-03	Stringent
chr2	116225430	116225654	EH38E4227292	CA-H3K4me3	-1.1778	8.59E-03	Stringent
chr19	16368412	16368740	EH38E3294146	dELS	-1.2564	8.63E-03	Stringent
chr14	61308747	61309096	EH38E1719371	dELS	-1.2441	8.66E-03	Stringent
chr15	58887747	58887994	EH38E4123685	CA	-1.3014	8.72E-03	Stringent
chr17	59902867	59903169	EH38E4167449	dELS	-1.2797	8.72E-03	Stringent
chr4	140581107	140581445	EH38E4349035	CA	-1.2796	8.73E-03	Stringent
chr7	41958513	41958743	EH38E3769984	dELS	-1.1805	8.73E-03	Stringent
chr22	19748495	19748845	EH38E4277604	dELS	-1.2896	8.76E-03	Stringent
chr17	74645076	74645386	EH38E3242509	dELS	-1.3226	8.76E-03	Stringent
chr10	43333775	43333947	EH38E2897319	dELS	-1.2153	8.76E-03	Stringent
chr2	232888200	232888371	EH38E4250350	dELS	-1.2184	8.79E-03	Stringent
chr19	39485342	39485555	EH38E3305371	dELS	-1.2906	8.82E-03	Stringent
chr1	40728523	40728686	EH38E3962693	TF	-1.3210	8.83E-03	Stringent
chr19	20879579	20879844	EH38E3297939	dELS	-1.0968	8.83E-03	Stringent
chr20	5510438	5510787	EH38E4254425	CA-TF	-1.3278	8.88E-03	Stringent
chr19	3876949	3877298	EH38E4190684	CA-CTCF	-1.3250	8.88E-03	Stringent
chr5	94375918	94376093	EH38E2391893	dELS	-1.3299	8.89E-03	Stringent
chr3	116579854	116580133	EH38E4308215	CA-CTCF	-1.3283	8.95E-03	Stringent
chr11	28337803	28338012	EH38E2950597	CA-CTCF	-1.3236	8.95E-03	Stringent
chr7	1199410	1199644	EH38E4426400	CA	-1.3236	8.95E-03	Stringent
chr11	83367779	83368083	EH38E1557263	dELS	-1.3240	8.95E-03	Stringent
chr2	9525256	9525578	EH38E3323774	dELS	-1.3015	9.00E-03	Stringent
chr14	61144260	61144410	EH38E1719213	dELS	-0.9934	9.04E-03	Stringent
chr11	126570613	126570825	EH38E2992877	CA-CTCF	-1.1502	9.04E-03	Stringent
chr15	29449208	29449488	EH38E4118646	CA-TF	-1.3169	9.05E-03	Stringent
chr17	82539071	82539410	EH38E3252077	dELS	-1.3140	9.06E-03	Stringent
chr14	57822212	57822368	EH38E1717377	dELS	-1.3006	9.06E-03	Stringent
chr5	169071158	169071403	EH38E3677013	dELS	-1.3188	9.07E-03	Stringent
chr19	33677852	33678129	EH38E4197361	CA-TF	-1.3269	9.14E-03	Stringent
chr11	94449161	94449340	EH38E1561878	dELS	-1.2943	9.15E-03	Stringent
chr6	2834315	2834605	EH38E4392630	TF	-1.2943	9.15E-03	Stringent
chr18	51025698	51025966	EH38E3269103	dELS	-1.3253	9.17E-03	Stringent
chr11	17371715	17371952	EH38E2947442	CA-H3K4me3	-1.1251	9.28E-03	Stringent
chr11	19992182	19992451	EH38E1526260	dELS	-1.2507	9.33E-03	Stringent
chr5	142470453	142470731	EH38E3666814	dELS	-1.3059	9.33E-03	Stringent
chr3	62052375	62052716	EH38E4299359	CA	-1.3090	9.38E-03	Stringent
chr11	123329584	123329807	EH38E1578034	dELS	-1.3230	9.38E-03	Stringent
chr17	26807499	26807669	EH38E1852931	CA-H3K4me3	-1.0396	9.45E-03	Stringent
chr7	28261109	28261335	EH38E4432074	CA	-1.2421	9.46E-03	Stringent
chr2	159049847	159050048	EH38E3380063	dELS	-1.1307	9.47E-03	Stringent
chr19	51891255	51891544	EH38E1962736	dELS	-1.2405	9.48E-03	Stringent
chr20	11874205	11874444	EH38E3420300	dELS	-1.3108	9.50E-03	Stringent
chr2	127376148	127376478	EH38E3370290	CA-H3K4me3	-1.2803	9.52E-03	Stringent
chr20	9592834	9593070	EH38E4255204	CA	-1.2571	9.54E-03	Stringent
chr17	64400729	64400969	EH38E3237260	dELS	-1.2974	9.56E-03	Stringent
chr3	167493270	167493606	EH38E3551885	dELS	-1.2696	9.61E-03	Stringent
chrX	46662534	46662811	EH38E3933072	dELS	-1.3173	9.62E-03	Stringent
chr8	133013365	133013566	EH38E4484432	TF	-1.1384	9.63E-03	Stringent
chr12	81183064	81183283	EH38E3029707	dELS	-1.2376	9.65E-03	Stringent
chr18	41805390	41805681	EH38E4181398	CA	-1.2376	9.65E-03	Stringent
chr3	114858372	114858716	EH38E3532399	dELS	-1.2376	9.65E-03	Stringent
chr1	205226854	205227201	EH38E1415169	pELS	-1.2375	9.66E-03	Stringent
chr7	45802267	45802539	EH38E4435695	CA-TF	-1.2375	9.66E-03	Stringent
chr9	128679632	128679969	EH38E3911240	dELS	-1.2375	9.66E-03	Stringent
chr9	107203081	107203302	EH38E4503730	CA-CTCF	-1.2369	9.68E-03	Stringent
chr3	72919572	72919840	EH38E4301585	CA-CTCF	-1.2877	9.69E-03	Stringent
chr10	66104816	66105104	EH38E1473726	dELS	-1.2428	9.74E-03	Stringent
chr2	150711887	150712065	EH38E2041139	CA-CTCF	-1.0870	9.77E-03	Stringent
chr13	50640930	50641167	EH38E1676705	CA-CTCF	-1.1771	9.82E-03	Stringent
chr19	7007936	7008164	EH38E4191756	pELS	-1.2908	9.83E-03	Stringent
chr11	46117380	46117530	EH38E2956598	pELS	-1.1791	9.83E-03	Stringent
chr2	36911095	36911360	EH38E4212411	CA	-1.2653	9.84E-03	Stringent
chr5	37833522	37833725	EH38E3632923	pELS	-1.0019	9.85E-03	Stringent
chr15	86086655	86086911	EH38E4129500	TF	-1.2871	9.89E-03	Stringent
chr5	167863937	167864262	EH38E4388593	CA-TF	-1.2871	9.89E-03	Stringent
chr9	95488556	95488802	EH38E4501467	dELS	-1.2871	9.89E-03	Stringent
chr2	10198662	10198954	EH38E4206108	dELS	-1.2862	9.90E-03	Stringent
chr3	53970776	53970935	EH38E4297683	CA-TF	-1.1971	9.92E-03	Stringent
chr1	224483248	224483596	EH38E1426533	dELS	-1.1069	9.92E-03	Stringent
chr11	76948284	76948596	EH38E2974113	CA-H3K4me3	-1.1069	9.92E-03	Stringent
chr16	17451924	17452256	EH38E3171191	pELS	-1.1069	9.92E-03	Stringent
chr5	584339	584492	EH38E3621647	CA-CTCF	-1.1069	9.92E-03	Stringent
chr13	73358717	73359065	EH38E1682725	dELS	-1.2440	9.98E-03	Stringent
chr2	94925077	94925285	EH38E4223165	CA-TF	-1.1579	1.00E-02	Robust
chr17	21224833	21225138	EH38E3214190	dELS	-1.1597	1.00E-02	Robust
chr8	42145513	42145823	EH38E3830946	dELS	-1.2291	1.00E-02	Robust
chr18	58903655	58903846	EH38E3271712	dELS	-1.2290	1.00E-02	Robust
chr11	45826564	45826770	EH38E2956393	dELS	-1.2664	1.00E-02	Robust
chr11	43214533	43214783	EH38E4035586	CA-TF	-1.3104	1.01E-02	Robust
chr10	47454873	47455155	EH38E4008152	CA	-1.2896	1.01E-02	Robust
chr3	88795599	88795860	EH38E4304178	TF	-1.1792	1.01E-02	Robust
chr9	79689658	79690007	EH38E3888132	dELS	-1.3093	1.01E-02	Robust
chr11	116209362	116209517	EH38E1572399	dELS	-1.2975	1.01E-02	Robust
chr4	18403522	18403856	EH38E2284604	dELS	-1.1430	1.01E-02	Robust
chr11	48087472	48087758	EH38E2958049	dELS	-1.3064	1.01E-02	Robust
chr10	117403973	117404159	EH38E2927617	dELS	-1.1429	1.01E-02	Robust
chr7	38200327	38200508	EH38E3768651	dELS	-1.1429	1.01E-02	Robust
chr12	74477457	74477760	EH38E4068491	CA	-1.2803	1.01E-02	Robust
chr4	177006452	177006636	EH38E2346166	dELS	-1.3057	1.01E-02	Robust
chr10	34911209	34911416	EH38E2895769	CA-H3K4me3	-1.2369	1.01E-02	Robust
chr16	26762683	26762875	EH38E4140197	CA-TF	-1.2181	1.01E-02	Robust
chr2	216501883	216502168	EH38E3399202	dELS	-1.2961	1.02E-02	Robust
chr14	79553506	79553739	EH38E3107246	dELS	-1.2175	1.02E-02	Robust
chr9	134871996	134872331	EH38E2735479	dELS	-1.2560	1.02E-02	Robust
chr2	186721082	186721286	EH38E4241596	dELS	-1.3083	1.02E-02	Robust
chr2	72883403	72883689	EH38E4219507	CA-CTCF	-1.3083	1.02E-02	Robust
chr17	5422550	5422890	EH38E1843099	dELS	-1.3005	1.02E-02	Robust
chr7	92056449	92056652	EH38E2571273	pELS	-1.3055	1.02E-02	Robust
chr6	21347226	21347415	EH38E4396588	dELS	-1.0846	1.02E-02	Robust
chr2	111126616	111126963	EH38E3364741	dELS	-1.2644	1.03E-02	Robust
chr2	70397198	70397546	EH38E4218902	dELS	-1.2643	1.03E-02	Robust
chr3	16707384	16707585	EH38E3499290	dELS	-1.1207	1.03E-02	Robust
chr7	99167296	99167447	EH38E4444629	CA-CTCF	-1.0405	1.03E-02	Robust
chr8	103271432	103271604	EH38E2654287	CA-H3K4me3	-1.0590	1.03E-02	Robust
chr10	63427050	63427373	EH38E4011035	CA	-1.2928	1.03E-02	Robust
chr10	66604245	66604523	EH38E2904658	CA-H3K4me3	-1.1444	1.04E-02	Robust
chr2	55988974	55989217	EH38E1999777	PLS	-1.2396	1.04E-02	Robust
chr11	61545431	61545735	EH38E2960634	dELS	-1.1488	1.04E-02	Robust
chr1	207080331	207080494	EH38E1416799	dELS	-1.0591	1.04E-02	Robust
chr3	161630901	161631057	EH38E3550992	CA-CTCF	-1.2677	1.04E-02	Robust
chr1	247411995	247412196	EH38E2879779	dELS	-1.2554	1.04E-02	Robust
chr7	121352332	121352661	EH38E2586090	dELS	-1.3035	1.05E-02	Robust
chr8	84637609	84637823	EH38E4473917	CA	-1.1688	1.05E-02	Robust
chr1	94504570	94504917	EH38E2825773	dELS	-1.2899	1.05E-02	Robust
chr5	173442860	173443121	EH38E4389890	dELS	-1.2911	1.05E-02	Robust
chr1	22252969	22253294	EH38E2793644	dELS	-1.3000	1.06E-02	Robust
chrX	14923228	14923543	EH38E3926155	dELS	-1.2233	1.06E-02	Robust
chr12	67370582	67370880	EH38E1621480	dELS	-1.2543	1.06E-02	Robust
chr6	130362259	130362452	EH38E2502710	dELS	-1.2543	1.06E-02	Robust
chr11	132177171	132177428	EH38E4053520	CA-CTCF	-1.2540	1.06E-02	Robust
chr16	7644201	7644546	EH38E4135312	dELS	-1.2540	1.06E-02	Robust
chr7	72292240	72292435	EH38E3778960	dELS	-1.1274	1.06E-02	Robust
chr13	39895252	39895585	EH38E1669670	dELS	-1.2981	1.07E-02	Robust
chr19	11370772	11371106	EH38E4192931	CA	-1.2981	1.07E-02	Robust
chr6	884018	884175	EH38E3685275	dELS	-1.2295	1.07E-02	Robust
chr3	48617666	48617880	EH38E3511955	dELS	-1.1601	1.07E-02	Robust
chr5	168691969	168692141	EH38E3676804	dELS	-1.2107	1.07E-02	Robust
chr10	111970740	111970960	EH38E2925127	dELS	-1.1670	1.07E-02	Robust
chr22	27823310	27823521	EH38E4280218	CA	-1.0276	1.07E-02	Robust
chrX	11089931	11090085	EH38E4513630	TF	-1.2677	1.07E-02	Robust
chr22	40928698	40929043	EH38E2165960	dELS	-1.2991	1.07E-02	Robust
chr14	100100540	100100826	EH38E3116101	dELS	-1.2815	1.07E-02	Robust
chr7	41073974	41074316	EH38E4434624	CA	-1.2815	1.07E-02	Robust
chr16	21227535	21227718	EH38E4138865	dELS	-1.2360	1.07E-02	Robust
chr1	170114991	170115201	EH38E2847358	CA-CTCF	-1.2676	1.08E-02	Robust
chr6	7514519	7514765	EH38E3689251	dELS	-1.2715	1.08E-02	Robust
chr5	135076589	135076775	EH38E3662327	dELS	-0.9173	1.08E-02	Robust
chrX	108355921	108356101	EH38E4526310	CA	-1.0631	1.08E-02	Robust
chr16	10408874	10409070	EH38E3167545	CA-H3K4me3	-1.2143	1.08E-02	Robust
chr13	98718814	98718971	EH38E4096055	CA	-1.0195	1.08E-02	Robust
chr17	77347629	77347858	EH38E1887986	dELS	-1.2387	1.08E-02	Robust
chr5	114092496	114092764	EH38E3654771	CA-H3K4me3	-1.2162	1.09E-02	Robust
chr7	65903636	65903928	EH38E3776748	CA-CTCF	-1.2959	1.09E-02	Robust
chr11	120669694	120669902	EH38E4051212	CA	-0.9540	1.09E-02	Robust
chr10	26544960	26545309	EH38E2892087	dELS	-1.1806	1.09E-02	Robust
chr6	19988624	19988950	EH38E4396287	CA-TF	-1.1806	1.09E-02	Robust
chr2	84708031	84708240	EH38E4221890	CA	-1.2703	1.09E-02	Robust
chr13	112526237	112526561	EH38E4099365	dELS	-1.1805	1.09E-02	Robust
chr14	105353683	105354022	EH38E4116747	dELS	-1.1805	1.09E-02	Robust
chr2	203063260	203063533	EH38E3394808	pELS	-1.1805	1.09E-02	Robust
chr4	31203886	31204198	EH38E4330949	CA	-1.1805	1.09E-02	Robust
chr8	74140113	74140365	EH38E4472207	CA-H3K4me3	-1.1548	1.09E-02	Robust
chr15	72534566	72534899	EH38E1776370	dELS	-1.2949	1.09E-02	Robust
chr1	66344759	66344927	EH38E1356285	dELS	-1.2956	1.10E-02	Robust
chrX	134494397	134494576	EH38E3945720	CA-CTCF	-1.2731	1.10E-02	Robust
chr1	23095955	23096193	EH38E3957929	CA-TF	-1.2183	1.10E-02	Robust
chr11	118309237	118309389	EH38E2987927	dELS	-0.9878	1.10E-02	Robust
chr12	99847980	99848325	EH38E4073128	CA-TF	-1.2769	1.11E-02	Robust
chr1	47203543	47203863	EH38E3964125	CA	-1.2541	1.11E-02	Robust
chr17	26877007	26877250	EH38E4158231	CA-H3K4me3	-1.2117	1.11E-02	Robust
chr3	122037020	122037213	EH38E3534453	CA-H3K4me3	-1.0802	1.11E-02	Robust
chr1	116748412	116748601	EH38E2833576	dELS	-1.0986	1.11E-02	Robust
chr15	64506335	64506498	EH38E3139743	dELS	-1.2297	1.11E-02	Robust
chr17	15109701	15110034	EH38E1848632	dELS	-1.2297	1.11E-02	Robust
chr15	75473841	75474167	EH38E1778539	dELS	-1.1098	1.11E-02	Robust
chr18	45769728	45770050	EH38E4182208	CA	-1.2894	1.11E-02	Robust
chr13	41380081	41380246	EH38E3062665	dELS	-1.1921	1.11E-02	Robust
chr15	31823220	31823424	EH38E3126093	dELS	-1.1584	1.11E-02	Robust
